symbol,organ_name
RAT,CTCP Vận tải và Thương mại Đường sắt
MBG,CTCP Tập đoàn MBG
THS,CTCP Thanh Hoa - Sông Đà
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
BRR,CTCP Cao su Bà Rịa
TH1,CTCP Xuất nhập khẩu Tổng hợp I Việt Nam
TXM,CTCP VICEM Thạch cao Xi măng
TN1,CTCP Rox Key Holdings
TED,Tổng công ty Tư vấn thiết kế Giao thông vận tải - CТСР
CQN,CTCP Cảng Quảng Ninh
MTB,CTCP Môi trường và Công trình Đô thị Thái Bình
ECO,CTCP Nhựa sinh thái Việt Nam
SHE,CTCP Phát triển Năng lượng Sơn Hà
BTP,CTCP Nhiệt điện Bà Rịa
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa 
PBP,CTCP Bao bì Dầu khí Việt Nam
NSL,CTCP Cấp nước Sơn La
CMP,CTCP Cảng Chân Mây
IBD,CTCP In Tổng hợp Bình Dương
KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ
SGT,CTCP Công nghệ Viễn Thông Sài Gòn
VMS,CTCP Phát triển Hàng Hải
SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam
IDP,CTCP Sữa Quốc tế Lof
CHC,CTCP Cẩm Hà
HSA,CTCP Hestia
HNP,CTCP Hanel Xốp nhựa
ICG,CTCP Xây dựng Sông Hồng
FGL,CTCP Cà phê Gia Lai
MCH,CTCP Hàng tiêu dùng Masan
NAC,CTCP Tư vấn Xây dựng Tổng hợp
PMT,CTCP Viễn thông TELVINA Việt Nam
SHN,CTCP Đầu tư Tổng hợp Hà Nội
BCF,CTCP Thực phẩm Bích Chi
TNH,CTCP Tập đoàn Bệnh viện TNH
BCB,CTCP 397
HMR,CTCP Đá Hoàng Mai
BCE,CTCP Xây dựng và Giao thông Bình Dương
CMF,CTCP Thực phẩm Cholimex
MTV,CTCP Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu
VCA,CTCP Thép VICASA 
SSH,CTCP Phát triển Sunshine Homes
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre
CTD,CTCP Xây dựng Coteccons
HLY,CTCP Gốm Xây Dựng Yên Hưng
NBP,CTCP Nhiệt điện Ninh Bình
PVV,CTCP Vinaconex 39
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí
ASP,CTCP Tập đoàn Dầu khí An Pha
TW3,CTCP Dược Trung ương 3
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông
SID,CTCP Đầu tư Phát triển Sài Gòn Co.op
TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy
X77,CTCP Thành An 77
DHA,CTCP Hóa An
THD,CTCP Thaiholdings
DS3,CTCP DS3
PC1,CTCP Tập Đoàn PC1
AG1,CTCP 28.1
L10,CTCP Lilama 10
HAS,CTCP Hacisco
VTJ,CTCP Thương mại và Đầu tư VI NA TA BA
PTB,CTCP Phú Tài
TT6,CTCP Tập đoàn Tiến Thịnh
SJG,Tổng Công ty Sông Đà - CTCP
AGM,CTCP Xuất Nhập khẩu An Giang
VSG,CTCP Container Phía Nam
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam
DNE,CTCP Môi trường Đô thị Đà Nẵng
DGT,CTCP Công trình Giao thông Đồng Nai
DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ
VCP,CTCP Xây Dựng Và Năng Lượng VCP
JVC,CTCP Đầu tư Y tế - Dược phẩm Việt Nam
OCH,CTCP One Capital Hospitality
STP,CTCP Công nghiệp Thương mại Sông Đà
NKG,CTCP Thép Nam Kim
SD8,CTCP Sông Đà 8
VCC,CTCP Vinaconex 25
LBE,CTCP Thương mại và Dịch vụ LVA
NDP,CTCP Dược phẩm 2/9
CIP,CTCP Xây lắp và Sản xuất Công nghiệp
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam
UMC,CTCP Công trình Đô thị Nam Định
SBH,CTCP Thủy điện Sông Ba Hạ
BVG,CTCP Group Bắc Việt
PHN,CTCP Pin Hà Nội
DNC,CTCP Điện Nước Lắp máy Hải Phòng
PNP,CTCP Tân Cảng - Phú Hữu
HSP,CTCP Sơn Tổng hợp Hà Nội
QTP,CTCP Nhiệt điện Quảng Ninh
SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội
GSM,CTCP Thủy điện Hương Sơn
HWS,CTCP Cấp nước Huế
NSG,CTCP Nhựa Sài Gòn
AAA,CTCP Nhựa An Phát Xanh
TL4,Tổng Công ty cổ phần Xây dựng Thủy Lợi 4 - CTCP
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm
KHS,CTCP Kiên Hùng
HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền
PTT,CTCP Vận tải Dầu khí Đông Dương
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
TNB,CTCP Thép Nhà Bè - VNSTEEL
PCM,CTCP Vật liệu Xây dựng Bưu điện
LM7,CTCP Lilama 7
DVT,Trung tâm đào tạo nghiệp vụ Giao thông vận tải Bình Định
L40,CTCP Đầu Tư và Xây dựng 40
TNS,CTCP Thép tấm lá Thống Nhất
BMP,CTCP Nhựa Bình Minh
VNP,CTCP Nhựa Việt Nam
TNG,CTCP Đầu tư và Thương mại TNG
FCC,CTCP Liên hợp Thực phẩm
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam
CLC,CTCP Cát Lợi
VPL,CTCP Vinpearl
HIO,CTCP Helio Energy
TNV,CTCP Thống Nhất Hà Nội
PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí
PVT,Tổng Công ty cổ phần Vận tải Dầu khí
ASG,CTCP Tập đoàn ASG
MCG,CTCP Năng lượng và Bất động sản MCG
MEC,CTCP Cơ khí - Lắp máy Sông Đà
CLM,CTCP Xuất nhập khẩu Than - Vinacomin
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP
CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh
KHP,CTCP Điện lực Khánh Hòa
HDW,CTCP Kinh doanh Nước sạch Hải Dương
BTU,CTCP Công trình Đô thị Bến Tre
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng
TBC,CTCP Thủy điện Thác Bà
C22,CTCP 22
DPC,CTCP Nhựa Đà Nẵng
HPW,CTCP Cấp nước Hải Phòng
VCE,CTCP Xây lắp Môi trường
VE1,CTCP Xây dựng Điện VNECO 1
HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8
BBM,CTCP Bia Hà Nội - Nam Định
VFC,CTCP Vinafco
DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn
SGR,CTCP Tổng CTCP Địa ốc Sài Gòn
BSG,CTCP Xe khách Sài Gòn
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1
MPT,CTCP Tập đoàn MPT
VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành
CI5,CTCP Đầu Tư Xây dựng Số 5
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam
VTH,CTCP Dây cáp Điện Việt Thái
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam
DRC,CTCP Cao su Đà Nẵng
PMW,CTCP Cấp nước Phú Mỹ
GDW,CTCP Cấp nước Gia Định
PVY,CTCP Chế tạo Giàn khoan Dầu khí
MEF,CTCP MEINFA
SJS,CTCP SJ Group
VCR,CTCP Đầu tư và Phát triển Du lịch ITC
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam
VCF,CTCP Vinacafé Biên Hòa
NHD,CTCP Dược phẩm Nam Hà
TST,CTCP Dịch vụ Kỹ Thuật Viễn thông
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn
TID,CTCP Tổng Công ty Tín Nghĩa
DTP,CTCP Dược phẩm CPC1 Hà Nội
ASM,CTCP Tập đoàn Sao Mai
VTD,CTCP Vietourist Holdings
VIC,Tập đoàn VINGROUP - CTCP
SBV,CTCP Siam Brothers Việt Nam
VES,CTCP Tập đoàn VinaLiving
HUB,CTCP Xây lắp Thừa Thiên Huế
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP
SRA,CTCP Sara Việt Nam
OGC,CTCP Tập đoàn Đại Dương
DNN,CTCP Cấp nước Đà Nẵng
C47,CTCP Xây dựng 47
DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng
FBC,CTCP Cơ khí Phổ Yên
SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM
NTC,CTCP Khu Công nghiệp Nam Tân Uyên
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh
DWC,CTCP Cấp nước Đắk Lắk
AME,CTCP Alphanam E&C
CCP,CTCP Cảng Cửa Cấm Hải Phòng
KSB,CTCP Khoáng sản và Xây dựng Bình Dương
GDH,CTCP Tập đoàn GDC
